date, pm25, pm10, o3, no2, so2, co
2018/9/4, 50, 10, , 17, , 3
2018/9/5, 21, 13, 11, 14, , 2
2018/9/6, 22, 22, , 18, 1, 3
2018/9/7, 40, 24, , 14, 1, 3
2018/9/8, 56, 33, , 18, 2, 3
2018/9/9, 74, 33, , 11, 2, 2
2018/9/10, 76, 27, 19, 14, 1, 2
2018/9/11, 60, 22, , 8, 1, 3
2018/9/12, 51, 18, , 5, , 3
2018/9/13, 39, 31, , , 1, 3
2018/9/14, 63, 29, 7, 11, , 8
2018/9/15, 70, 21, , , , 4
2018/9/16, 52, 6, , , , 1
2018/9/17, 18, 14, , , , 6
2018/9/18, 38, 19, , , 1, 6
2018/9/19, 47, 20, 8, 17, 2, 6
2018/9/20, 49, 19, 7, , , 6
2018/9/21, 47, 17, 27, 27, , 5
2018/9/22, 60, 26, 44, 25, 1, 4
2018/9/23, 74, 17, 39, 15, 1, 3
2018/9/24, 57, 37, 39, 36, 2, 5
2018/9/25, 87, 27, 25, 16, 1, 3
2018/9/26, 78, 28, 22, 24, 1, 5
2018/9/27, 80, 27, 19, 33, , 7
2018/9/28, 79, 15, 17, 21, 1, 4
2018/9/29, 57, 12, 22, 12, , 3
2018/9/30, 43, 21, 29, 18, , 5
2018/10/1, 62, 24, 17, 29, 1, 9
2018/4/2, 38, 15, 8, 15, , 3
2018/4/3, 34, 14, 6, 19, , 3
2018/4/4, 42, 18, 29, 18, , 2
2018/4/5, 44, 20, 28, 18, , 2
2018/4/6, 55, 20, 26, 17, , 1
2018/4/7, 52, 19, 31, 14, , 2
2018/4/8, 54, 19, 5, 10, , 1
2018/4/9, 52, 18, 7, 12, , 2
2018/4/10, 47, 21, 28, 19, , 2
2018/4/11, 52, 27, 24, 18, , 2
2018/4/12, 61, 29, 19, 26, , 3
2018/4/13, 63, 33, 38, 26, , 5
