date, pm25, pm10, o3, no2, so2, co
2018/8/30, 59, 55, 32, 25, 1, 3
2018/8/31, 64, , 40, 34, 1, 
2018/9/1, 80, , 36, 23, 1, 
2018/9/2, 88, , 35, 14, 2, 
2018/9/3, 82, , 27, 15, , 
2018/9/4, 47, , 14, 13, , 
2018/9/5, 22, , 16, 12, , 
2018/9/6, 22, , 16, 16, 1, 
2018/9/7, 46, , 42, 13, 1, 
2018/9/8, 60, , 34, 19, 2, 
2018/9/9, 94, , 46, 10, 2, 
2018/9/10, 79, , 29, 12, 1, 
2018/9/11, 50, , 21, 11, 1, 
2018/9/12, 75, , 23, 10, , 
2018/9/13, 39, , 26, 15, 1, 
2018/9/14, 66, , 9, 24, , 
2018/9/15, 62, , 29, 16, , 
2018/9/16, 54, 15, 26, 6, , 
2018/9/17, 24, 22, 20, 18, , 
2018/9/18, 30, 25, 26, 20, 1, 
2018/9/19, 37, , 35, 20, 2, 
2018/9/20, 47, 16, 21, 26, , 
2018/9/21, 34, 19, 33, 21, , 
2018/9/22, 61, 49, 42, 19, 1, 
2018/9/23, 66, , 45, 11, 1, 
2018/9/24, 54, , 51, 29, 2, 
2018/9/25, 90, , 36, 15, 1, 
2018/9/26, 86, , 39, 21, 1, 
2018/9/27, 78, , 28, 28, , 
2018/9/28, 69, , 17, 18, 1, 
2018/9/29, 66, , 29, 11, , 
2018/9/30, 45, , 31, 13, , 
2018/10/1, 56, , 31, 27, 1, 
2018/4/2, 35, , 15, , , 
2018/4/3, 32, , 18, , , 
2018/4/4, 34, , 30, , , 
2018/4/5, 46, , 31, , , 
2018/4/6, 61, , 25, , , 
2018/4/7, 58, , 34, , , 
2018/4/8, 64, , 28, , , 
2018/4/9, 53, , 27, , , 
2018/4/10, 53, , 33, , , 
2018/4/11, 59, , 29, , , 
2018/4/12, 56, , 26, , , 
2018/4/13, 54, , 40, , , 
2018/4/14, 58, , 30, , , 
2018/4/15, 48, , 11, , , 
2018/4/16, 26, , 9, , , 
2018/4/17, 20, , 9, , , 
2018/4/18, 32, , 17, , , 
2018/4/19, 50, , 31, , , 
2018/4/20, 61, , 20, , , 
2018/4/21, 61, , 38, , , 
2018/4/22, 92, , 28, , , 
2018/4/23, 66, , 25, , , 
2018/4/24, 73, , 24, , , 
2018/4/25, 69, , 23, , , 
2018/4/26, 71, , 19, , , 
2018/4/27, 73, , 25, , , 
2018/4/28, 66, , 45, , , 
2018/4/29, 78, , 24, , , 
2018/4/30, 68, , 34, , , 
2018/5/1, 72, , 29, , , 
2018/5/2, 86, , 22, , , 
2018/5/3, 62, , 33, , , 
2018/5/4, 63, , 30, , , 
2018/5/5, 79, , , , , 
2018/5/8, 49, , 7, , , 
2018/5/9, 40, , 16, , , 
2018/5/10, 42, , 25, , , 
2018/5/11, 55, , 28, , , 
2018/5/12, 69, , 21, , , 
2018/5/13, 50, , 22, , , 
2018/5/14, 48, , 17, , , 
2018/5/15, 48, , 13, , , 
2018/5/16, 50, , 20, , , 
2018/5/17, 65, , 15, , , 
2018/5/18, 47, , 21, , , 
2018/5/19, 54, , 15, , , 
2018/5/20, 34, , 19, , , 
2018/5/21, 35, , 21, , , 
2018/5/22, 49, , 28, , , 
2018/5/23, 95, , 44, , , 
2018/5/24, 96, , 26, , , 
2018/5/25, 60, , 20, , , 
2018/5/26, 58, , 23, , , 
2018/5/27, 66, , 22, , , 
2018/5/28, 72, , 21, , , 
2018/5/29, 61, , 18, , , 
2018/5/30, 56, , 18, , , 
2018/5/31, 63, , 23, , , 
2018/6/1, 88, , 30, , , 
2018/6/2, 76, , 28, , , 
2018/6/3, 94, , 11, , , 
2018/6/4, 48, , 12, , , 
2018/6/5, 34, , 4, , , 
2018/6/6, 60, , 13, , , 
2018/6/7, 71, , 14, , , 
